Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay
WN,12889,14869,0,2
WN,12889,14869,-6,-9
WN,12889,14869,-3,-3
WN,12889,14869,29,34
WN,12889,14893,0,-6
WN,12889,14893,-1,-7
WN,12889,14893,115,109
WN,12889,14893,0,-18
WN,12889,14893,28,16
WN,12889,14893,2,-2
WN,12889,14893,-4,-12
WN,12889,14893,-6,-17
WN,12889,14908,-2,-6
WN,12889,14908,-1,-6
WN,12889,14908,2,-4
WN,12889,14908,4,-2
WN,12889,14908,4,0
WN,12889,14908,-1,-16
WN,12889,14908,7,-1
WN,12889,15016,28,15
WN,12889,15016,-1,-4
WN,12889,15016,21,21
WN,12889,15016,-2,-9
WN,12889,15304,3,9
WN,12889,15304,14,7
WN,12889,15376,14,11
WN,12889,15376,-4,-11
WN,12889,15376,21,15
WN,12889,15376,1,-7
WN,12889,15376,-1,-3
WN,12892,10140,3,5
WN,12892,10140,136,127
WN,12892,10140,0,-9
WN,12892,10140,139,133
WN,12892,10397,1,-3
WN,12892,10423,1,-9
WN,12892,10423,-3,-7
WN,12892,10693,0,7
WN,12892,10693,5,-5
WN,12892,10821,24,50
WN,12892,11292,-3,-3
WN,12892,11292,3,-3
WN,12892,11292,0,10
WN,12892,11292,2,-4
WN,12892,11292,0,12
WN,12892,11292,77,68
WN,12892,11292,28,43
WN,12892,12191,1,-9
WN,12892,12191,4,-11
WN,12892,12191,41,27
WN,12892,12191,65,38
WN,12892,12889,-1,2
WN,12892,12889,0,0
WN,12892,12889,0,-1
WN,12892,12889,12,23
WN,12892,12889,3,0
WN,12892,12889,-2,-10
WN,12892,12889,7,5
WN,12892,12889,10,13
WN,12892,12889,-5,-2
WN,12892,12889,-3,-3
WN,12892,12889,0,2
WN,12892,12889,-2,-6
WN,12892,13198,1,5
WN,12892,13198,2,16
WN,12892,13198,-1,-3
WN,12892,13232,0,-1
WN,12892,13232,0,-2
WN,12892,13232,0,-3
WN,12892,13232,-4,-18
WN,12892,13232,-1,-17
WN,12892,13232,12,9
WN,12892,13342,18,23
WN,12892,13495,-1,-20
WN,12892,13796,-2,-12
WN,12892,13796,7,4
WN,12892,13796,-1,-4
WN,12892,13796,11,2
WN,12892,13796,4,-10
WN,12892,13796,-2,-15
WN,12892,13796,-2,-9
WN,12892,13796,-4,-14
WN,12892,13796,3,20
WN,12892,13796,-2,-10
WN,12892,13796,14,7
WN,12892,13796,-1,-7
WN,12892,14107,7,3
WN,12892,14107,15,9
WN,12892,14107,31,26
WN,12892,14107,7,9
WN,12892,14107,-1,-6
WN,12892,14107,8,-3
WN,12892,14107,-3,-7
WN,12892,14107,0,6
WN,12892,14107,9,7
WN,12892,14570,-3,-10
WN,12892,14570,0,-7
WN,12892,14570,-3,-9
WN,12892,14683,19,0
WN,12892,14683,7,-10
WN,12892,14771,109,123
WN,12892,14771,-1,-3
WN,12892,14771,82,78
WN,12892,14771,0,0
WN,12892,14771,-1,-6
WN,12892,14771,78,102
WN,12892,14771,6,-1
WN,12892,14771,33,34
WN,12892,14771,59,52
WN,12892,14771,59,115
